"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"319",2,329,10098.4056532118,140071.193067763,2892.85009765625,3315.63751220703,2,"TUBB","Nuclear"
"320",2,329,10091.8387586806,140076.455549452,2886.283203125,3320.89999389648,2,"HSP90AB1","Cytoplasm"
"321",2,329,10096.8668348524,140042.533338759,2891.31127929688,3286.97778320312,6,"STAT1","Cytoplasm"
"322",2,329,10090.2154676649,140078.175550673,2884.65991210938,3322.61999511719,6,"RPL21","Cytoplasm"
"323",2,329,10099.9334852431,140026.722181532,2894.3779296875,3271.16662597656,6,"FGF2","Cytoplasm"
"324",2,329,10091.6556532118,140093.45557997,2886.10009765625,3337.90002441406,6,"HMGB2","Nuclear"
"325",2,329,10080.9224989149,140081.422193739,2875.36694335938,3325.86663818359,6,"CALM2","Cytoplasm"
"326",2,329,10088.5555555556,140029.695539686,2883,3274.13998413086,6,"SMAD2","Membrane"
"327",2,329,10087.4806043837,140049.805525038,2881.92504882812,3294.24996948242,6,"FYN","Membrane"
"328",2,329,10090.5985243056,140099.784101698,2885.04296875,3344.22854614258,6,"CLEC10A","Cytoplasm"
"329",2,329,10086.1556532118,140038.29554579,2880.60009765625,3282.73999023438,6,"MALAT1","Membrane"
"330",2,329,10093.9332411024,140071.844465468,2888.37768554688,3316.28890991211,6,"HLA-A","Nuclear"
"331",2,329,10072.5555555556,140084.868025038,2867,3329.31246948242,6,"TUBB","Cytoplasm"
"332",2,329,10092.8556043837,140068.430555556,2887.30004882812,3312.875,6,"LGALS1","Cytoplasm"
"333",2,329,10082.4391004774,140094.72221205,2876.88354492188,3339.16665649414,6,"C1QC","Cytoplasm"
"334",2,329,10094.5555555556,140072.555555556,2889,3317,6,"SERPINA3","Nuclear"
"335",2,329,10081.9723036024,140083.14723036,2876.41674804688,3327.59167480469,6,"TUBB","Membrane"
"336",2,329,10083.2723524306,140049.72221205,2877.716796875,3294.16665649414,6,"TAP1","Cytoplasm"
"337",2,329,10093.7664930556,140064.244428847,2888.2109375,3308.68887329102,6,"COL1A2","Nuclear"
"338",2,329,10079.8221571181,140066.955549452,2874.2666015625,3311.39999389648,6,"HLA-A","Cytoplasm"
"339",2,329,10093.5985243056,140086.512739393,2888.04296875,3330.95718383789,6,"KRT8","Nuclear"
"340",2,329,10089.7555067274,140078.880567763,2884.19995117188,3323.32501220703,6,"HMGB2","Membrane"
"341",2,329,10091.6178114149,140060.718061659,2886.06225585938,3305.16250610352,6,"CD55","Cytoplasm"
"342",2,329,10085.4410536024,140065.055555556,2879.88549804688,3309.5,6,"HLA-A","Membrane"
"343",2,329,10097.2931043837,140035.493055556,2891.73754882812,3279.9375,6,"SOX4","Membrane"
"344",2,329,10085.1646864149,140087.591901991,2879.60913085938,3332.03634643555,6,"LGALS1","Cytoplasm"
"345",2,329,10079.1056043837,140067.305525038,2873.55004882812,3311.74996948242,6,"HLA-A","Cytoplasm"
"346",2,329,10074.9806043837,140082.755567763,2869.42504882812,3327.20001220703,6,"H4C3","Cytoplasm"
"347",2,329,10093.2303602431,140049.230543349,2887.6748046875,3293.67498779297,6,"FGFR2","Cytoplasm"
"348",2,329,10096.3055555556,140082.755567763,2890.75,3327.20001220703,6,"GPX1","Nuclear"
"349",2,329,10085.8353407118,140074.775587294,2880.27978515625,3319.22003173828,6,"TGFBR1","Membrane"
"350",2,329,10084.1842176649,140043.841261122,2878.62866210938,3288.28570556641,6,"SOX4","Cytoplasm"
"351",2,329,10099.2682020399,140030.630537245,2893.71264648438,3275.07498168945,6,"UBE2C","Membrane"
"352",2,329,10083.4305555556,140034.405561659,2877.875,3278.85000610352,6,"MALAT1","Cytoplasm"
"353",2,329,10091.6556532118,140071.230543349,2886.10009765625,3315.67498779297,6,"CCR2","Cytoplasm"
"354",2,329,10096.7843153212,140071.212721083,2891.22875976562,3315.65716552734,6,"RPL37","Nuclear"
"355",2,329,10098.3709852431,140081.486341688,2892.8154296875,3325.93078613281,6,"BID","Nuclear"
"356",2,329,10092.1456434462,140076.165571425,2886.59008789062,3320.61001586914,6,"EPCAM","Cytoplasm"
"357",2,329,10082.5557996962,140050.612684462,2877.00024414062,3295.05712890625,6,"TAP1","Cytoplasm"
"358",2,329,10092.1429578993,140066.393049452,2886.58740234375,3310.83749389648,6,"RPL34","Cytoplasm"
"359",2,329,10083.8270399306,140077.269849989,2878.271484375,3321.71429443359,6,"RPS4Y1","Membrane"
"360",2,329,10088.2391493056,140044.25559828,2882.68359375,3288.70004272461,6,"PDGFRA","Membrane"
"361",2,329,10096.4432508681,140029.130537245,2890.8876953125,3273.57498168945,6,"SMAD4","Membrane"
"362",2,329,10098.0306532118,140081.730543349,2892.47509765625,3326.17498779297,7,"BID","Nuclear"
"363",2,329,10088.6805555556,140036.730543349,2883.125,3281.17498779297,7,"RAC1","Membrane"
"364",2,329,10083.1429578993,140079.130567763,2877.58740234375,3323.57501220703,7,"MIF","Membrane"
"365",2,358,10040.7157555556,140099.675555556,2835.1602,3344.12,1,"ITGA5","Nuclear"
"366",2,358,10032.3270555556,140095.455555556,2826.7715,3339.9,1,"C9orf16","Nuclear"
"367",2,358,10006.8888555556,140098.538895556,2801.3333,3342.98334,1,"TUBB","Cytoplasm"
"368",2,358,10020.5553555556,140057.575515556,2814.9998,3302.01996,1,"HLA-A","Nuclear"
"369",2,358,10045.5777555556,140086.500015556,2840.0222,3330.94446,1,"SQSTM1","Nuclear"
"370",2,358,10046.0055555556,140091.805555556,2840.45,3336.25,1,"HSPB1","Nuclear"
"371",2,358,10014.8128555556,140057.769855556,2809.2573,3302.2143,1,"HSPB1","Nuclear"
"372",2,358,10020.0055555556,140088.272195556,2814.45,3332.71664,1,"CALM2","Nuclear"
"373",2,358,10043.0325555556,140097.547855556,2837.477,3341.9923,1,"MZT2A","Nuclear"
"374",2,358,10008.7442555556,140090.222185556,2803.1887,3334.66663,1,"MIF","Nuclear"
"375",2,358,10041.3558555556,140073.398415556,2835.8003,3317.84286,1,"IRF4","Nuclear"
"376",2,358,10005.0697555556,140090.526995556,2799.5142,3334.97144,1,"S100A6","Nuclear"
"377",2,358,10012.6273555556,140091.069855556,2807.0718,3335.5143,1,"RPL22","Nuclear"
"378",2,358,10004.7555555556,140096.530555556,2799.2,3340.975,1,"LGALS1","Cytoplasm"
"379",2,358,10001.7723555556,140074.972215556,2796.2168,3319.41666,1,"VIM","Nuclear"
"380",2,358,10062.2388555556,140094.088915556,2856.6833,3338.53336,1,"CALM2","Cytoplasm"
"381",2,358,10028.6055555556,140074.055555556,2823.05,3318.5,1,"MIF","Nuclear"
"382",2,358,10003.5355555556,140081.775585556,2797.98,3326.22003,1,"LGALS1","Nuclear"
"383",2,358,10002.1891004774,140088.755537245,2796.63354492188,3333.19998168945,0,"CD24","Nuclear"
"384",2,358,10007.2555067274,140098.730543349,2801.69995117188,3343.17498779297,0,"TUBB","Cytoplasm"
"385",2,358,10019.9889051649,140053.555555556,2814.43334960938,3298,0,"RARA","Nuclear"
"386",2,358,10051.7223036024,140095.322218153,2846.16674804688,3339.76666259766,0,"KRT19","Membrane"
